trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1084,False,"{'a': 0.5, 'e': 0.004367365392379105}",20,6,22.174382495258236,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1085,False,"{'a': 0.5, 'e': 0.004345528565417209}",20,16,6.5807484579678,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1086,False,"{'a': 0.5, 'e': 0.004323800922590123}",25,15,16.538145803088838,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1087,False,"{'a': 0.5, 'e': 0.004302181917977173}",25,15,18.25830861656884,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1088,False,"{'a': 0.5, 'e': 0.004280671008387286}",20,16,8.090707130472822,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1089,False,"{'a': 0.5, 'e': 0.004259267653345351}",25,7,27.331410618367215,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1090,False,"{'a': 0.5, 'e': 0.004237971315078624}",25,11,26.57471126293087,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1091,False,"{'a': 0.5, 'e': 0.00421678145850323}",25,15,18.09544290001147,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1092,False,"{'a': 0.5, 'e': 0.004195697551210714}",30,22,15.767733394901231,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1093,False,"{'a': 0.5, 'e': 0.00417471906345466}",30,16,23.48217892974014,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1094,False,"{'a': 0.5, 'e': 0.004153845468137387}",20,9,-19.58251585087441,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
1095,False,"{'a': 0.5, 'e': 0.004133076240796701}",25,14,19.31461814647377,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1096,False,"{'a': 0.5, 'e': 0.004112410859592717}",20,9,18.882945415421403,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1097,False,"{'a': 0.5, 'e': 0.004091848805294753}",25,13,24.5290102538673,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1098,False,"{'a': 0.5, 'e': 0.004071389561268279}",20,15,9.093082470006522,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1099,False,"{'a': 0.5, 'e': 0.004051032613461938}",20,13,12.276296059580591,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1100,False,"{'a': 0.5, 'e': 0.004030777450394628}",30,11,30.450343763696367,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1101,False,"{'a': 0.5, 'e': 0.004010623563142655}",20,16,8.012322408888714,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1102,False,"{'a': 0.5, 'e': 0.003990570445326942}",20,15,10.180977468642286,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1103,False,"{'a': 0.5, 'e': 0.003970617593100307}",20,0,27.880682285624715,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1104,False,"{'a': 0.5, 'e': 0.003950764505134805}",20,10,23.41910287891907,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1105,False,"{'a': 0.5, 'e': 0.003931010682609131}",25,9,30.52347745810963,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1106,False,"{'a': 0.5, 'e': 0.003911355629196086}",30,22,16.60094966942479,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1107,False,"{'a': 0.5, 'e': 0.0038917988510501055}",20,15,8.300606699678463,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1108,False,"{'a': 0.5, 'e': 0.003872339856794855}",20,2,27.96840781133236,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1109,False,"{'a': 0.5, 'e': 0.0038529781575108806}",25,17,17.926845720968487,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1110,False,"{'a': 0.5, 'e': 0.003833713266723326}",20,11,19.494231694740563,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1111,False,"{'a': 0.5, 'e': 0.0038145447003897093}",20,13,13.913175149369142,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1112,False,"{'a': 0.5, 'e': 0.0037954719768877607}",20,15,9.049855300362522,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1113,False,"{'a': 0.5, 'e': 0.003776494617003322}",25,14,18.647993757178924,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1114,False,"{'a': 0.5, 'e': 0.0037576121439183052}",20,9,22.30068278998038,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1115,False,"{'a': 0.5, 'e': 0.003738824083198714}",20,16,8.258105784540348,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1116,False,"{'a': 0.5, 'e': 0.0037201299627827203}",20,1,27.679084088792216,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1117,False,"{'a': 0.5, 'e': 0.0037015293129688065}",30,14,30.559870856318827,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1118,False,"{'a': 0.5, 'e': 0.0036830216664039627}",20,13,16.218724418169238,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1119,False,"{'a': 0.5, 'e': 0.0036646065580719428}",30,0,51.14897081709413,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
1120,False,"{'a': 0.5, 'e': 0.003646283525281583}",20,10,12.940684314580851,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1121,False,"{'a': 0.5, 'e': 0.0036280521076551752}",30,18,21.120864290318494,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1122,False,"{'a': 0.5, 'e': 0.003609911847116899}",20,10,21.803265206678386,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1123,False,"{'a': 0.5, 'e': 0.0035918622878813146}",30,4,40.363260416845755,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
1124,False,"{'a': 0.5, 'e': 0.003573902976441908}",25,18,14.560785602095125,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1125,False,"{'a': 0.5, 'e': 0.0035560334615596986}",25,15,18.591922324741294,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1126,False,"{'a': 0.5, 'e': 0.0035382532942519}",20,10,13.605245791031724,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1127,False,"{'a': 0.5, 'e': 0.0035205620277806407}",20,8,22.152590114024246,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1128,False,"{'a': 0.5, 'e': 0.0035029592176417375}",30,23,11.930972865103886,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1129,False,"{'a': 0.5, 'e': 0.0034854444215535285}",25,14,23.17080045487006,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
